algorithm,snr_db,n_ok,n_failed,failure_rate,nmse_db,median_nmse_db,aggregate_minus_median_db,p10_nmse_db,p25_nmse_db,p50_nmse_db,p75_nmse_db,p90_nmse_db,p95_nmse_db,p99_nmse_db,worse_than_zero_rate,top1pct_energy_share,top5pct_energy_share,max_nmse_linear
cui_crlb,1.0,2000,0,0.0,-7.998735816266174,-8.026321146672844,0.027585330406670217,-8.255846286753602,-8.156704618630283,-8.026321146672844,-7.885343428126172,-7.727855863004996,-7.603267184364774,-7.390934796319522,0.0,0.011953536102933088,0.056644362715689664,0.20197919141116882
cui_crlb,2.0,2000,0,0.0,-9.075305318575733,-9.105800987617803,0.030495669042069906,-9.324559470362832,-9.226232670925578,-9.105800987617803,-8.966230593484617,-8.802212691726881,-8.712163973028078,-8.482800248083038,0.0,0.011704082590629607,0.0560236023467848,0.15002662590707425
cui_crlb,3.0,2000,0,0.0,-10.151224453643302,-10.188065625773724,0.036841172130422706,-10.392236393097527,-10.305622161425134,-10.188065625773724,-10.037748365770923,-9.889845006895865,-9.783061567380239,-9.552277476068697,0.0,0.011754623254826459,0.056126818593641596,0.1247363674082621
cui_crlb,4.0,2000,0,0.0,-11.226360687300971,-11.254804987072697,0.028444299771726023,-11.445787238125929,-11.361801462904623,-11.254804987072697,-11.126733075964088,-10.98076963512397,-10.893344979873847,-10.710570601880253,0.0,0.01156058204723045,0.05547699246709431,0.09180017172860805
cui_crlb,5.0,2000,0,0.0,-12.274478946974156,-12.305881544521696,0.03140259754754027,-12.484032136762979,-12.407706969480598,-12.305881544521696,-12.172468064591742,-12.03049088420392,-11.945378868929096,-11.758890563833486,0.0,0.011556159500370762,0.055347449067829686,0.07338349584248975
cui_crlb,6.0,2000,0,0.0,-13.316403319929588,-13.34539455610284,0.028991236173252943,-13.52637036160862,-13.44880987813648,-13.34539455610284,-13.22151619362877,-13.08566229595469,-13.005405697134302,-12.782718808763828,0.0,0.011668063567885701,0.0555361343417327,0.06299608594185255
cui_crlb,7.0,2000,0,0.0,-14.346991194305021,-14.373070436838622,0.026079242533601388,-14.546377784356725,-14.475589298577846,-14.373070436838622,-14.258839017050807,-14.123954382924609,-14.020456587966198,-13.874240234111962,0.0,0.01145796982034992,0.05519128429384039,0.04585008188483983
cui_crlb,8.0,2000,0,0.0,-15.378851082605344,-15.40992697740207,0.0310758947967269,-15.571217007938266,-15.50196265586564,-15.40992697740207,-15.291920510503633,-15.16281980258222,-15.076672093664715,-14.833462913033909,0.0,0.01157854238352606,0.055357809732640276,0.03532619297663126
cui_crlb,9.0,2000,0,0.0,-16.40580912736171,-16.436744420981995,0.03093529362028491,-16.587053036480267,-16.521596053585803,-16.436744420981995,-16.321332791369656,-16.192713729849185,-16.114776695898843,-15.942652468872122,0.0,0.011332412780027785,0.05483553502357437,0.027199904702382035
cui_crlb,10.0,2000,0,0.0,-17.418709184651867,-17.450918937523063,0.03220975287119643,-17.607025569700316,-17.547760869238463,-17.450918937523063,-17.33359483246234,-17.19615792796351,-17.09423483452689,-16.89831187079908,0.0,0.011468891412772148,0.05537172026833467,0.021353386257642114
